address,trans,comforts,education,medical,eatery,culture
대전광역시 대덕구 덕암동 덕암로167번길 31,0,11,32,7,122,2
대전광역시 대덕구 덕암동 덕암로167번길 33,0,11,32,7,122,2
대전광역시 대덕구 덕암동 덕암로167번길 35,0,11,32,7,121,2
대전광역시 대덕구 덕암동 덕암로167번길 37,0,11,32,7,120,2
대전광역시 대덕구 덕암동 덕암로167번길 39,0,11,32,7,122,2
대전광역시 대덕구 덕암동 덕암로258번길 21,0,31,91,58,464,4
대전광역시 대덕구 덕암동 덕암로125번안길 90,0,12,37,13,146,2
대전광역시 대덕구 덕암동 덕암북로4번길 149,0,21,93,25,291,3
대전광역시 대덕구 덕암동 덕암로222번길 15,0,18,60,20,230,3
대전광역시 대덕구 덕암동 덕암로125번안길 70,0,12,33,7,126,2
대전광역시 대덕구 덕암동 덕암북로22번길 145,0,19,69,19,248,3
대전광역시 대덕구 덕암동 덕암북로72번길 75,0,20,66,24,264,3
대전광역시 대덕구 덕암동 덕암로187번길 1,0,14,40,13,175,2
대전광역시 대덕구 덕암동 덕암로195번길 30,0,16,42,13,192,2
대전광역시 대덕구 덕암동 덕암북로10번길 20,0,30,105,64,475,5
대전광역시 대덕구 덕암동 덕암로181번길 45,0,13,37,13,161,2
대전광역시 대덕구 덕암동 덕암북로10번길 34,0,31,106,58,475,5
대전광역시 대덕구 덕암동 덕암북로96번길 15,0,29,77,54,447,3
대전광역시 대덕구 덕암동 덕암북로10번길 41,0,32,107,61,503,5
대전광역시 대덕구 덕암동 덕암로167번길 36,0,11,35,11,127,2
대전광역시 대덕구 덕암동 덕암로173번길 23,0,12,36,11,129,2
대전광역시 대덕구 덕암동 덕암로173번길 21,0,12,36,13,130,2
대전광역시 대덕구 덕암동 덕암로137번길 18,0,11,24,7,111,2
대전광역시 대덕구 덕암동 덕암로159번길 29,0,12,28,7,120,2
대전광역시 대덕구 덕암동 덕암로159번길 27,0,12,29,7,122,2
대전광역시 대덕구 덕암동 덕암로159번길 25,0,12,29,7,122,2
대전광역시 대덕구 덕암동 덕암로221번길 43,0,19,60,15,230,3
대전광역시 대덕구 덕암동 덕암로125번안길 22,0,11,23,7,112,2
대전광역시 대덕구 덕암동 덕암로125번안길 46,0,12,26,7,110,2
대전광역시 대덕구 덕암동 덕암북로22번길 150,0,20,69,19,251,3
대전광역시 대덕구 덕암동 덕암북로22번길 55-2,0,31,107,63,496,5
대전광역시 대덕구 덕암동 덕암북로10번길 6,0,29,104,61,471,4
대전광역시 대덕구 덕암동 덕암로265번길 119,0,31,107,64,512,5
대전광역시 대덕구 덕암동 덕암로159번길 31,0,12,28,7,120,2
대전광역시 대덕구 덕암동 덕암로203번길 27,0,17,42,13,196,2
대전광역시 대덕구 덕암동 덕암로181번길 36,0,14,40,13,167,2
대전광역시 대덕구 덕암동 덕암로173번길 13,0,12,37,13,139,2
대전광역시 대덕구 덕암동 덕암로173번길 17,0,12,36,13,130,2
대전광역시 대덕구 덕암동 덕암북로10번길 13,0,31,105,63,498,5
대전광역시 대덕구 덕암동 덕암로153번길 33,0,12,26,7,114,2
대전광역시 대덕구 덕암동 덕암북로4번길 147,0,22,96,28,302,3
대전광역시 대덕구 덕암동 덕암로125번길 30,0,9,21,7,97,1
대전광역시 대덕구 법동 아리랑로197번길 7-19,0,10,95,55,192,11
대전광역시 대덕구 비래동 비래서로10번길 6,0,59,171,64,800,11
