"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190401 ~ 20200331"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"대전광역시 대덕구 덕암동","71-15","0071","0015","대양타운(5,6동)","50.4","36.37","202001","6","3,500","4","1991","덕암로167번길 35"
"대전광역시 대덕구 덕암동","71-1","0071","0001","대양타운(7,8동)","50.4","36.35","201905","21","5,000","2","1991","덕암로167번길 37"
"대전광역시 대덕구 덕암동","71-14","0071","0014","대양타운(9,10동)","43.44","32.25","202003","31","4,300","2","1991","덕암로167번길 39"
"대전광역시 대덕구 덕암동","13-11","0013","0011","대원빌라","44.88","33.11","201905","3","3,500","3","1990","덕암로258번길 21"
"대전광역시 대덕구 덕암동","13-11","0013","0011","대원빌라","44.88","33.11","201906","19","3,800","3","1990","덕암로258번길 21"
"대전광역시 대덕구 덕암동","65-7","0065","0007","덕암(1,2동)","57.06","52.88","201904","2","3,900","2","1990","덕암로125번안길 90"
"대전광역시 대덕구 덕암동","38-9","0038","0009","덕암아트빌라","46.41","32.48","201904","22","4,100","2","1994","덕암북로4번길 149"
"대전광역시 대덕구 덕암동","50-9","0050","0009","드림빌리지","67.568","54.93","201906","22","15,200","2","2015","덕암로222번길 15"
"대전광역시 대덕구 덕암동","70-22","0070","0022","드림시티빌","65.8","57.67","201910","25","14,400","2","2012","덕암로125번안길 70"
"대전광역시 대덕구 덕암동","42-8","0042","0008","삼보빌라","49.84","49.87","201910","22","5,200","2","1991","덕암북로22번길 145"
"대전광역시 대덕구 덕암동","42-8","0042","0008","삼보빌라","49.84","119.58","202002","17","5,000","4","1991","덕암북로22번길 145"
"대전광역시 대덕구 덕암동","42-8","0042","0008","삼보빌라","59.91","59.95","202003","4","5,000","3","1991","덕암북로22번길 145"
"대전광역시 대덕구 덕암동","43-4","0043","0004","삼성빌리지(나동)","56","45.83","202003","26","5,700","2","1997","덕암북로72번길 75"
"대전광역시 대덕구 덕암동","62-6","0062","0006","삼화.대림주택","44.88","56.82","201908","20","4,500","3","1991","덕암로187번길 1"
"대전광역시 대덕구 덕암동","62-6","0062","0006","삼화.대림주택","44.88","19.95","201912","3","3,800","3","1991","덕암로187번길 1"
"대전광역시 대덕구 덕암동","62-6","0062","0006","삼화.대림주택","44.88","19.95","202003","21","5,000","3","1991","덕암로187번길 1"
"대전광역시 대덕구 덕암동","58-18","0058","0018","성진아트빌라","49.8","36.52","201905","12","3,800","4","1996","덕암로195번길 30"
"대전광역시 대덕구 덕암동","1-5","0001","0005","세진시티빌","75.56","49.58","201909","4","15,900","4","2016","덕암북로10번길 20"
"대전광역시 대덕구 덕암동","62-15","0062","0015","신원파크빌","44.82","35.37","201905","28","5,000","4","1991","덕암로181번길 45"
"대전광역시 대덕구 덕암동","62-15","0062","0015","신원파크빌","45.57","25.41","201908","12","3,000","2","1991","덕암로181번길 45"
"대전광역시 대덕구 덕암동","5-4","0005","0004","신탄빌라(5-4)","46.2","43.91","201907","6","3,800","1","1987","덕암북로10번길 34"
"대전광역시 대덕구 덕암동","14-10","0014","0010","아성빌라(A동)","56.28","42.3","201912","20","5,200","4","1994","덕암북로96번길 15"
"대전광역시 대덕구 덕암동","4-39","0004","0039","아주그린빌라(A,B동)","57.84","40.23","201904","28","8,800","1","1995","덕암북로10번길 41"
"대전광역시 대덕구 덕암동","64-11","0064","0011","영지빌라","45","35.51","201908","1","3,300","2","1990","덕암로167번길 36"
