"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200401 ~ 20200430"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 도로명주소"
"시도 : 전체"
"시군구 : 전체"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 양구군 양구읍 상리","441-7","0441","0007","리버파크빌(2차)","46.68","35.44","202004","10","9,300","3","2017","박수근로365번길 20-9"
"강원도 양구군 양구읍 상리","441-7","0441","0007","리버파크빌(2차)","46.68","35.44","202004","13","9,400","5","2017","박수근로365번길 20-9"
"강원도 양구군 양구읍 상리","278-14","0278","0014","비봉하이츠","70.17","46.57","202004","21","8,400","3","1995","양남로7번길 16"
"강원도 양구군 양구읍 상리","111-37","0111","0037","우성5동","57.9","50.82","202004","20","5,850","3","1993","중심로 77-93"
"강원도 양구군 양구읍 송청리","71-1","0071","0001","내뜨레빌","57.86","59.96","202004","8","15,937","5","2020","우정로 22"
"강원도 양양군 양양읍 서문리","268-2","0268","0002","태한그린맨션","52.8","34.91","202004","3","5,700","4","1997","고치물길 22"
"강원도 양양군 현남면 남애리","454-1","0454","0001","강맥남애빌라","63.12","62.38","202004","23","8,000","2","1992","남애안길 38"
"강원도 영월군 영월읍 덕포리","633-8","0633","0008","늘푸른빌라(C동)","75.56","84.13","202004","16","9,700","3","2006","덕포하리1길 36-1"
"강원도 영월군 영월읍 하송리","248-1","0248","0001","영월주택","78.12","94.16","202004","8","8,500","3","1987","하송로 26"
"강원도 인제군 인제읍 상동리","49-14","0049","0014","제2차삼성빌라트101,102동","74.6","57.5","202004","2","9,600","4","2001","비봉로15번길 32-1"
